"Cluster","Severity","Distance.mi.","Temperature.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Speed.mph.","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight","Duration_Min","Start_Hour","Wind_Direction_CALM","Wind_Direction_E","Wind_Direction_East","Wind_Direction_ENE","Wind_Direction_ESE","Wind_Direction_N","Wind_Direction_NE","Wind_Direction_NNE","Wind_Direction_NNW","Wind_Direction_North","Wind_Direction_NW","Wind_Direction_S","Wind_Direction_SE","Wind_Direction_South","Wind_Direction_SSE","Wind_Direction_SSW","Wind_Direction_SW","Wind_Direction_VAR","Wind_Direction_Variable","Wind_Direction_W","Wind_Direction_West","Wind_Direction_WNW","Wind_Direction_WSW","Weather_Condition_Cloudy","Weather_Condition_Cloudy...Windy","Weather_Condition_Drizzle","Weather_Condition_Drizzle...Windy","Weather_Condition_Drizzle.and.Fog","Weather_Condition_Fair","Weather_Condition_Fair...Windy","Weather_Condition_Fog","Weather_Condition_Fog...Windy","Weather_Condition_Funnel.Cloud","Weather_Condition_Haze","Weather_Condition_Haze...Windy","Weather_Condition_Heavy.Drizzle","Weather_Condition_Heavy.Rain","Weather_Condition_Heavy.Rain...Windy","Weather_Condition_Heavy.Rain.Shower...Windy","Weather_Condition_Heavy.T.Storm","Weather_Condition_Heavy.T.Storm...Windy","Weather_Condition_Heavy.Thunderstorms.and.Rain","Weather_Condition_Light.Drizzle","Weather_Condition_Light.Drizzle...Windy","Weather_Condition_Light.Freezing.Fog","Weather_Condition_Light.Freezing.Rain...Windy","Weather_Condition_Light.Rain","Weather_Condition_Light.Rain...Windy","Weather_Condition_Light.Rain.Shower","Weather_Condition_Light.Rain.Showers","Weather_Condition_Light.Rain.with.Thunder","Weather_Condition_Light.Snow","Weather_Condition_Light.Snow.and.Sleet","Weather_Condition_Light.Thunderstorms.and.Rain","Weather_Condition_Mist","Weather_Condition_Mist...Windy","Weather_Condition_Mostly.Cloudy","Weather_Condition_Mostly.Cloudy...Windy","Weather_Condition_N.A.Precipitation","Weather_Condition_Overcast","Weather_Condition_Partly.Cloudy","Weather_Condition_Partly.Cloudy...Windy","Weather_Condition_Patches.of.Fog","Weather_Condition_Rain","Weather_Condition_Rain...Windy","Weather_Condition_Rain.Shower","Weather_Condition_Rain.Showers","Weather_Condition_Scattered.Clouds","Weather_Condition_Shallow.Fog","Weather_Condition_Showers.in.the.Vicinity","Weather_Condition_Smoke","Weather_Condition_Snow","Weather_Condition_Squalls...Windy","Weather_Condition_T.Storm","Weather_Condition_T.Storm...Windy","Weather_Condition_Thunder","Weather_Condition_Thunder...Windy","Weather_Condition_Thunder.in.the.Vicinity","Weather_Condition_Thunderstorm","Weather_Condition_Thunderstorms.and.Rain","Weather_Condition_Tornado","Weather_Condition_Volcanic.Ash","Weather_Condition_Widespread.Dust","Weather_Condition_Widespread.Dust...Windy","Weather_Condition_Wintry.Mix"
"1",0.161093563002286,0.22207358874667,0.857901796716313,-0.320131769583623,-0.459387941595053,0.287719253140011,0.438105477832252,-0.0315774860989679,-0.0219580635380152,-0.348602160757835,-0.0621150345041654,0.188211811472769,-0.0186256857495648,-0.0770214420319029,0.0096273512531053,-0.0429832531098805,-0.087169740047781,-0.0461806363070367,-0.396078573416052,0.555948364374153,0.536625641475294,0.506100667894887,0.469555810138305,0.00141230255284647,0.395383301188657,-0.365202147679946,0.0684719432481743,-0.00488306790055081,-0.0133672071807891,0.165579613593583,-0.243584587269932,-0.0741279953581828,-0.17420607230925,-0.206319370305313,-0.160480963476231,-0.120435535067218,0.186451929084294,0.190898047739072,0.0458174090533221,0.169145778126351,0.147506680979788,0.172774108336992,0.0806276039773531,0.00271836396363642,0.118237748905632,0.0310168017651739,-0.0150472850972867,0.160598061082455,0.00229268817876938,0.00287236093861962,-0.00736080177008563,-0.000313128842738744,-0.00398077071627675,-0.517300177676479,0.0179194389489856,-0.305505587929718,-0.0177254270026118,0.00404311147379809,-0.0364027597148028,-0.00201239353642645,-0.0116863464400351,-0.0719733582755702,-0.000380504670149457,0.000776604915734284,-0.0327010959194717,-0.0107715757570102,-0.0396987848296399,-0.014492802571124,-0.00194663230429564,-0.00775797573292683,-0.00867949057025888,0.0498259770889769,0.0194609359751753,0.00186803377132991,-0.00348815289877615,0.0742780993912437,-0.0230427448323766,-0.00592421853750652,0.00955876976886957,-0.0523969827940345,-0.00110454489513986,0.480257181729418,0.0206649556997345,-0.00742410401406249,-0.13276382211904,0.293186259558911,0.0162760648997655,-0.0353865099295849,-0.0388350254713404,0.0078587770786665,1.00961929049136e-05,-0.00230739846450352,-0.0106306635461789,-0.0328400818238526,0.0376033382933119,-0.0271117290029499,-0.00873551717848077,-0.00117952741956637,0.042336878134315,0.00558717959428469,0.165582512330937,0.0257282137481519,0.174503306452623,0.039410941265431,-0.00913509694958453,0.0119317010392737,-0.00078899958030771,-0.0010331735945827,-0.00505777789042624,-0.00844119617943689
"2",0.0465742513220672,0.0219928904075256,-0.632735983484679,0.582087190796875,0.0140625492479264,0.143583598970886,-0.401765680846776,-0.0128939681651918,-0.00338352343367252,-0.078949481108321,0.00202311172656858,0.0893541063121143,0.00491118830870265,0.00357529594624271,0.0103686209477878,-0.052215249655244,0.000616298983512362,-0.00916767078090495,-0.0432105370918441,-1.66452805472242,-1.7558145485599,-1.75701660667297,-1.66343258393355,0.0263266033354878,0.00684847896980711,0.270978382437467,0.0234815184822561,-0.049513583367058,0.00358235849980816,-0.0521540893837402,0.0786579577633421,0.0129999731277794,0.0170891538835878,0.0333583063263642,-0.0363188481565093,-0.00319408127547652,-0.00260857237282702,-0.0568263481879538,-0.0577979246484879,-0.0425364755560092,-0.027416659970252,-0.0477672363080388,-0.162580037446354,-0.0868754255717135,-0.047867302298838,-0.0409000168541397,-0.0148638217923308,-0.0508560997219884,0.142960958233223,0.0312914989915535,0.00114505449166856,0.00633029216877602,-0.00503549225060898,0.276381980234493,-0.0208864174667202,-0.0406956538165381,-0.0107900183537772,-0.00426215698735927,-0.0404419237676811,-0.00085148784014066,-0.00816292936865619,-0.0683671093440366,-0.00088934389683661,-0.00243690995505884,-0.092405105639071,-0.0339540391065158,-0.0396665111975577,-0.000514213713587322,0.00104401815139862,-0.000314766433531412,0.00717281412427535,-0.051513721645475,0.0148466273513376,0.00166654793544593,-0.00528725635193565,-0.076358243298557,0.00226520604513813,-0.00330469126760927,-0.035600710061151,-0.00551995731463032,0.00633309053398954,-0.0999499189290288,-0.0197789548398482,-0.00313859657952871,-0.0222611361830584,-0.129570928774494,-0.0260675242052459,-0.0175433344233742,-0.0667881435355243,0.00217562867436986,-0.00229612914469403,-0.0051218012644673,-0.0990088125184492,-0.00457458546958998,-0.0187171804660752,-0.00235412121089978,-0.00394571493402241,0.0132558868441083,-0.0782055347643952,-0.0128018636262832,-0.0792650147971338,-0.0119954277629911,-0.0781268126325062,-0.0327345167007497,-0.0289618916886897,-0.00329183461311311,-0.00236492360077805,-0.00395272404933174,-0.00211042896411898,-0.00258831871558858
"3",-0.0996692132037754,0.0862724796136618,-0.607555424720045,0.326748504447541,0.0359172327881235,0.0935158055924261,0.313170682386068,-0.0572591425432673,0.0364236313753469,-0.167992463743626,-0.0471505183630755,0.0244949591388607,-0.052160003519342,-0.040707417045468,-0.0110042537912808,-0.0387466890186044,-0.0889061576224369,0.00910919986361299,-0.137111133933906,0.344112458351178,0.418138355686914,0.4543545705992,0.436233683717857,0.0313013520530476,-0.455797762758044,-0.314793710677624,-0.189649660498179,-0.269949335819372,0.0754738137015294,-0.285059424738841,0.420335044823076,0.222075284073888,0.277219380996506,0.39341782674619,0.0809071335578919,0.261095530176184,0.140522616019214,-0.184910109768217,-0.0418128708018851,-0.0446935397462151,0.022378965147718,-0.0449677310954171,-0.189058894776828,-0.176277470497533,0.00186163828293646,-0.147055814051337,0.120466596450201,-0.133108829769476,1.02193827987397,0.151872858106447,0.0291022749503903,-0.00435083094097138,-0.00618148324269454,-0.620941447444049,0.142481958457796,-0.230092776512087,0.0304467350160675,0.000424147145796111,-0.101530940787462,0.000611337384316823,0.0102317960214963,-0.131513146623561,0.00284545469488437,-0.0017430196647877,-0.115680654715938,-0.0204902347925114,-0.112717768233632,0.0511141370477242,0.00910073173863666,0.00476695269359888,0.0167132512635823,0.300500382054422,0.0805392815389692,0.00433569566086941,0.00971584379549063,0.0584971698494785,0.0274192607137627,0.0120019815460593,-0.0523780734447189,-0.0227296451547042,-0.00594871009336558,0.369489709352673,0.0529495283376644,-0.00911399110608041,0.13531684250774,-0.315100316515623,0.0435345437582216,0.0860958909145943,-0.0128482210267874,0.0213275674961678,-0.0109709573453957,-0.0144255892761753,-0.377515825591882,0.0629973789123829,-0.033088916797979,0.00336632478296187,0.00806880286083712,0.0137996695926635,0.0100808068064949,0.0139626001806702,-0.00155081040887736,0.0273328001795871,-0.0396447918728923,-0.0933193405491166,-0.0562780255032435,-9.0115049489011e-05,0.00229048842595652,-0.0115120353149612,0.00342700162679641,0.0292650595514675
"4",0.135203293815676,0.149181176749615,-0.383169209847224,1.27957477603002,-0.49335954077159,-3.0802908926907,0.180234427334468,-0.0515444874759269,-0.0119346295967014,-0.163434634088496,-0.00687724522565491,0.0555823451628994,-0.00905319490723779,-0.023559952751443,-0.0136613388724263,-0.104658860647389,0.00141329427503097,-0.0197026435848393,-0.087620832795431,0.13260972784584,0.194917432191817,0.226083301723426,0.23174974405076,-0.0487331540275814,-0.252389798365419,0.111572921402161,-0.0547556232334585,-0.0652784960488805,-0.17546286997928,-0.095340755871429,-0.0345014201691456,-0.0989968370056528,0.00411363017516182,-0.0866469631840469,-0.0023956788312649,0.0774372961256847,0.0498328344175938,-0.0648493443523546,0.0499809186017388,0.00540696120072642,0.131593732456838,0.119968319732408,-0.150936996700122,-0.0881676680643346,0.143995347077044,0.0432162066500601,0.0512087891538768,0.134108616759281,-0.149523831479712,0.0850504987446217,0.0698472685779647,0.0123142318372756,0.0353204295420706,-0.716188292042761,0.0683508633213656,1.79872890589305,0.088272341774709,-0.00239814584559629,0.372404611654819,0.0522771941233484,0.0528708529202161,1.24180165934075,0.390506439716835,0.0238084850158982,1.06740087696556,0.466975662622209,0.493382776157978,0.107876870944973,0.0171163915327267,0.0218116392872474,0.00162999118599698,0.704790539501763,0.237859759018738,0.0141436069073521,0.00169383215487582,0.396966702834961,0.0192202817470624,0.0194787642682167,0.196825193269323,0.262030989295266,0.0129968054579597,-0.571930231501984,0.111646473388027,0.0455725335955061,0.0892272012724127,-0.259237671494672,0.0724537789431216,-0.00879633020191983,0.98158230340279,0.268982764980342,0.0298305378646624,0.037509805041005,-0.107846562357638,0.0209918666867349,0.110894443809611,0.0159420129518682,0.0157844098455823,0.00264382786738641,0.592736204864741,0.244584568451819,0.050181600783561,0.0593124219258611,0.00849871939570716,-0.00192654520049984,0.272835645447728,-0.000687345031003241,-0.00259703338990648,0.0289789269430811,0.0100235729667039,-0.000681742069452268
"5",1.04090199418761,-0.111623239389948,0.115080741680743,-0.155011966714685,0.823236541389281,0.0894943783924955,0.148793636671375,-0.133852758935212,-0.01349743703206,-0.193751876023218,0.0245729374066439,0.342523392840056,-0.0769363161866843,-0.0707964185986196,0.0285037578017734,-0.343089512258903,-0.242117597097607,-0.0213811223658611,0.213974643358048,0.37913604875626,0.411206203684126,0.420972274904181,0.408804323831873,-0.0691118037931697,-0.169047049487638,-0.264073371882632,-0.343933936071982,0.94141176155114,0.173979061520047,0.143995142693847,-0.312196840010892,0.101140189111864,0.0545432293663508,-0.0290428974315315,0.631247211581005,-0.0798499728007575,-0.383177394158556,0.0695685453110382,0.505795698413767,-0.0291529254123867,-0.120522085573447,-0.10142101575073,-0.107467525833012,0.447307989190348,-0.382079958295973,0.424868546481032,-0.144084245948127,-0.0766637313494608,-0.464218067226244,-0.0795147599442207,-0.00322780227665587,0.00204355158427594,0.00401815405683264,-0.829030856702223,-0.101850337142695,-0.0321249947094988,-0.00863438228123842,0.010738111150508,0.0413084854770477,-0.00995270760258644,-0.00181956834411236,-0.0376509385453625,-0.0726428127079281,-0.00217365939237917,-0.126720260292729,-0.0647939161870835,0.114316317334675,0.00430198841498323,-0.00351231272293143,0.00197543366034885,0.010961280469116,-0.0570334517451213,-0.102182069508888,-0.00605224251858056,0.0109901435265293,-0.138476739706625,0.0133082003687022,-0.00351224974473134,0.153376377873026,0.035391604950864,-0.00150688937469625,0.20581970069161,-0.0511308926112824,-0.00401162670751541,0.688962055169094,0.282130096661774,-0.0388262174283221,0.0147173934012214,-0.0286271582417188,-0.0638485463876982,0.00202433854057231,0.0187324465593229,1.11300403888042,0.0227350568204496,-0.0110168429162764,0.0474424070115323,0.0107230606286667,-0.00528008355682811,-0.1435180503491,-0.0488231447323833,-0.129475558785184,-0.0373394113492867,-0.141818010406263,0.216894165387322,0.105564217475625,-0.00367008476743046,0.0141225204906837,0.00570392898304526,-0.00285476106669502,-0.00308208177138823
"6",-0.543256741531894,-0.598141284318697,0.470703892081969,-0.368577907231887,-0.0775295456153388,0.245933100366499,0.306921402837907,0.252855857576631,0.0665502306582688,1.1826778086382,0.186448206449847,-0.525051807913225,0.148159076806827,0.274194780205165,-0.025618338001946,0.46513853049143,0.35679873794535,0.162011354220171,0.976914485085425,0.482545377359488,0.482742277584686,0.469117926151546,0.442647109142026,-0.0074595552931363,0.159255973174044,-0.24973832238381,0.0611355529361869,0.0461341081203828,0.0772877407128724,0.149325472478294,-0.13225173343912,-0.0143757462561924,-0.0691502698153856,-0.111683556210662,-0.029492836402459,-0.0724508065420656,0.045441241770138,0.0917132760051696,0.0477999378992081,0.0611749929787743,0.0520097814582061,0.0462274310677484,0.000314899300530822,0.0271502093592497,0.0103500719653355,0.0269392383961515,-0.00833482734735204,0.0310212172854177,-0.0702842243481623,-0.00928317859007263,-0.0169404942678263,-0.00538124566193982,-0.00558126884656805,-0.145796869492258,0.0333741847867594,-0.112772278092262,-0.00479882270306032,0.00455241380244553,-0.00508324401836564,-0.00091934379919844,0.0037459307180971,-0.0777896869854366,-0.0193602282113754,-0.000947629394489405,-0.054792404272198,-0.00929500741971165,-0.0187731553865373,-0.0119529890411501,0.00588008570401716,-0.00411151900315291,-0.0127018949857444,-0.0786319745136423,0.00801804265165525,-0.00584630062374751,-0.00214775533958204,-0.0311667570708627,-0.00732154563799393,-0.00409044050148422,-0.0156997095296952,-0.0119426466832707,-0.00127702707135876,0.171388885327713,0.0429334797171286,-0.00485577368011913,-0.0325932398891378,0.154408479422971,0.0311275840468344,0.0239712992772481,-0.0828474918246491,-0.0103844358620967,-0.000853937656429554,-0.00270154272494529,0.0458679843468947,-0.0214469422702366,-0.0500259623751059,0.00182351791035921,-0.00426516148409168,-0.00285430033934199,-0.0385516910881341,-0.0132502747478294,0.0155876331317799,0.00784331247062602,0.058033519473697,0.0101816260948837,-0.0289431439744492,-0.00342514093092536,-0.00313467318161754,-0.00360180605741643,0.00199299570963467,-0.00718143054815436
"7",-0.229331531742242,0.164379785939217,0.122711722094243,-0.863199234599171,0.230256889463032,0.308727201155801,0.241862672131135,-0.00328347612586935,-0.041391859130084,-0.233467004321835,-0.0740693387029128,-0.0429901078127213,-0.00962816185380464,-0.0760004933494854,-0.00330803734062717,0.040444319589002,0.0022289853593147,-0.0574052038281584,-0.361224602450286,0.5212291787853,0.518724959404386,0.497451731211771,0.458818705708775,0.0110663343291291,0.31589346380567,-0.148982752336216,0.330117595577818,-0.200047900982933,0.0375419165067026,0.00690880190903602,0.180743653725529,-0.0122678170172623,0.04089427706551,0.0803109176288279,-0.145566840656597,0.083686705168931,-0.0949472418994235,-0.0432285295344341,-0.259356313181448,-0.106875227536572,-0.137155621980948,-0.0910566822972404,0.169484508422432,-0.0768805127799697,0.129170901802545,-0.11191654684262,0.0729088618458067,-0.0153564783435224,-0.33229462191357,0.017519891528265,-0.023037862712237,0.000810715451264366,0.00107827219510399,0.969231047074164,0.086438017985218,-0.163584409303295,0.00363312382327659,-0.00758034430133776,0.0100037325357722,0.00622203500330763,-0.00486876809207069,-0.0389796421396593,0.000387162007272585,-0.000206538442547524,0.0211004174156234,0.0282360150854412,-0.0219768820661972,-0.0417274702651249,-0.002206741908779,0.00051315777174541,0.00035006923768831,-0.279215843972578,-0.00516994405690505,-0.000811716754694592,-0.00364844882329615,-0.0294326376063264,-0.00128041913540581,0.0031427009414214,-0.0592089128347362,-0.0272608363911901,0.000882674162251797,-0.465659954786812,0.0945779969853052,0.00180232849537545,-0.233455164375463,-0.0657728633591965,0.0923228375695057,-0.0706779640475193,-0.0873640826337415,-0.00946350890177437,0.00208503922715879,-0.00109803527251369,-0.170731273972513,-0.0537334622047424,0.0114015969602605,0.00424172831440213,0.000532012229279213,-0.00669959028716773,-0.0376521677087754,0.0205443699233471,-0.0142548637054589,0.0143044556691138,-0.0125153607289808,-0.0496121953015252,-0.0307301611362619,-0.00239104335216426,-0.00280974860494576,0.00901873049137273,0.0063948895456329,0.00437929123845927
"8",-0.206335990584489,0.0972491109739634,-0.302700594717599,0.406484011519909,-0.0813967833519635,0.0263712942475045,-1.4111194001438,-0.0652279361321873,0.00510327907230938,-0.100247448118192,-0.0151264532606289,-0.0735002837801113,-0.0481546738186351,-0.0199704128933355,-0.00468006808597077,-0.130592612651731,-0.0546551784797933,-0.014005319530148,-0.0484906847423397,0.233716294108994,0.329990668835322,0.380324420172815,0.373628940399366,-0.000142962882673335,-0.749434381902932,1.24653649969344,-0.291907718327086,-0.239025344762183,-0.320902679398089,-0.215968129016717,0.040988340554036,-0.124359639088072,-0.0421719694651859,-0.0028341689232932,-0.0541861556469518,-0.0583850071442999,-0.00560589007154553,-0.115559474530788,-0.0626212266258668,-0.0326455131860134,-0.014918424721702,-0.0327547422728554,0.321186624026774,0.0688382445015423,-0.0578636855005356,-0.116440891210143,-0.070546073589655,-0.0634824610484029,-0.0926406899752942,-0.227684919872424,0.00680009973901831,-0.0127785076336455,0.00447942908715413,0.727183508364291,-0.285920261378273,0.22085227419425,-0.0234285913868902,-0.000703959291285749,-0.0336975825736358,-0.0292047959674872,-0.000444204869969941,-0.159045955574183,-0.152017164939356,-0.00554614363062324,-0.131307347133433,-0.158910520644527,-0.0933199774907945,-0.00548539661066008,-0.0210646872561687,-0.00117073598421167,-0.011716254518795,-0.0509844170174983,-0.206645406401896,-0.00414643876573345,0.00573107243580254,-0.0346553566681137,-0.00494181040899703,-0.00290035347526747,-0.0368682355815187,-0.00846546965892583,-0.0128977316283027,-0.273393077245687,-0.3111314084992,0.00869902229615851,-0.146720008525729,-0.148973741755529,-0.243288471624116,0.0989150186376224,-0.0878437976712209,-0.11824001543884,-0.00755843790912887,-0.00703597188339423,-0.208328982876436,0.0998649240133479,0.00427478546700213,-0.0198600202545332,0.000445060098987649,-0.0220543300033651,-0.0181710747006286,-0.123178763316176,-0.013074207214286,-0.0869186461257563,-0.0206765863989684,-0.0486630166574638,-0.0462389114757106,-8.38082637049026e-06,0.00143158268676824,-0.0132449657401812,-0.00817878082732418,-0.00278494307160464
