,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-3.439484748103956,0.23237401215334313,-14.801503473780222,1.432445897266812e-49,-3.894929442867581,-2.9840400533403306
number_of_elements,-0.04572241916803632,0.7118832978906082,-0.0642274082051329,0.9487891538528743,-1.440988044229227,1.3495432058931545
wtd_entropy_atomic_mass,2.342910070990044,0.3946837239435511,5.936170986683845,2.9175552783407572e-09,1.5693441867765348,3.116475955203553
range_fie,4.951817309865808,1.056679492180078,4.686205558555428,2.783167389584068e-06,2.8807635619907814,7.022871057740835
wtd_entropy_atomic_radius,-0.899260342452326,0.5850456775034404,-1.5370771497530427,0.12427441785046787,-2.0459287996699045,0.24740811476525248
range_atomic_radius,2.059193136309215,0.6022313711731675,3.4192724505497543,0.0006278882371158803,0.8788413384496334,3.239544934168797
wtd_std_atomic_radius,0.7447607347141991,0.47566376671920374,1.565729380337372,0.11741198502294903,-0.18752311680610223,1.6770445862345005
range_ThermalConductivity,0.163415519963666,0.7494429791654412,0.21804930395857594,0.8273906965164628,-1.305465727667001,1.632296767594333
std_ThermalConductivity,0.5429866938143741,0.791010018239857,0.6864473031866519,0.4924310839379722,-1.0073644533461168,2.093337840974865
wtd_std_ThermalConductivity,1.4641401273273882,0.26849339956651647,5.453169909171874,4.9479750043155955e-08,0.9379027340902938,1.9903775205644827
entropy_Valence,1.9708416852199973,1.0518213733524397,1.8737418112529798,0.06096602005309591,-0.09069032472024219,4.032373695160237
wtd_std_fie,-1.1303764984343796,0.4342264368138231,-2.6031959424871096,0.009235915136794053,-1.9814446757246302,-0.27930832114412885
entropy_fie,1.7818853916297979,3.509819499274374,0.507685763327199,0.6116737341344597,-5.097234419184382,8.661005202443977
wtd_entropy_FusionHeat,0.3530834542812634,0.30583094904118197,1.1545053088584525,0.24829306330776024,-0.24633419119715783,0.9525010997596847
std_atomic_radius,-1.8365226978013642,0.7757142403965359,-2.3675247947782365,0.017907520078645163,-3.3568946712734204,-0.31615072432930824
entropy_atomic_radius,-0.7774498270408667,3.372133989545976,-0.23055128575882672,0.8176634163429848,-7.386710997594347,5.831811343512613
entropy_FusionHeat,-0.021944893218183936,0.40086636331013464,-0.054743663292113214,0.9563426832198836,-0.8076285279195964,0.7637387414832285
entropy_atomic_mass,-5.044732610059099,0.6001146040056515,-8.40628202744353,4.232127592141999e-17,-6.220935620506692,-3.868529599611506
std_fie,-3.538442649316294,1.0321661015176269,-3.4281717294470417,0.0006076609390245222,-5.561451034353956,-1.5154342642786318
