,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,28.31527713448312,0.46343182333590105,61.099121183915464,0.0,27.406967451455028,29.223586817511215
number_of_elements,6.742829711611162,0.7996372146001487,8.432361061363125,3.3875987841229916e-17,5.175569570296945,8.31008985292538
wtd_entropy_atomic_mass,-6.2596240129422185,0.3925566648041855,-15.945784581353712,3.047880913944537e-57,-7.029020937849584,-5.490227088034853
range_fie,-12.514825875732964,0.7765196549381916,-16.116560342222247,1.9517462628820357e-58,-14.03677643269929,-10.992875318766638
wtd_entropy_atomic_radius,0.6413524717741094,0.6077406488559558,1.0553061951367353,0.29128530867316704,-0.5497973119245677,1.8325022554727863
range_atomic_radius,-4.109940438518023,0.5330578081811833,-7.71012144544195,1.2569806534855539e-14,-5.154714544231003,-3.0651663328050427
wtd_std_atomic_radius,-4.715148014527195,0.297486846355659,-15.849937811670577,1.4072004731725768e-56,-5.298211519258687,-4.132084509795702
range_ThermalConductivity,-12.27261795585068,0.7428580696453134,-16.520811252289946,2.5987884372038703e-61,-13.728593017980442,-10.81664289372092
std_ThermalConductivity,0.017479365588776385,0.6231360706591895,0.028050639999520004,0.977621762138383,-1.2038448903710415,1.2388036215485942
wtd_std_ThermalConductivity,-3.413940978070302,0.2851596023244738,-11.972035836218097,4.979168348253568e-33,-3.9728435284720347,-2.855038427668569
entropy_Valence,3.9918092450333367,1.1112187831233915,3.5922802112948804,0.00032779709531684036,1.8138604511670642,6.169758038899609
wtd_std_fie,5.688102831476005,0.30597947863238034,18.589818039104472,3.884935559137771e-77,5.088394073348197,6.287811589603813
entropy_fie,-14.32925932771349,3.2305260284973705,-4.435580831515084,9.182436803868335e-06,-20.660973994687552,-7.997544660739428
wtd_entropy_FusionHeat,-0.49983269789696866,0.4015466458293334,-1.244768703931371,0.21321678317395976,-1.286849661835323,0.2871842660413855
std_atomic_radius,-2.1971167151505133,0.814984328627681,-2.6959005688491566,0.007019861767499714,-3.794456647225324,-0.5997767830757028
entropy_atomic_radius,-13.191170077299867,3.3299914246752182,-3.96132253661477,7.453576875122879e-05,-19.71783333849052,-6.664506816109215
entropy_FusionHeat,-1.516798939791825,0.41151512039889776,-3.685888718551902,0.00022790592709501727,-2.3233537548673286,-0.7102441247163211
entropy_atomic_mass,20.288173762327354,0.600897699992371,33.76310770133574,6.865556050023569e-250,19.110435911949352,21.465911612705355
std_fie,7.056432429497265,0.8689335004665968,8.120796845452647,4.631327189410682e-16,5.353354063622417,8.759510795372114
