"Cluster","Total_Points","Centroid_Lat","Centroid_Lng","Avg_Severity","Avg_Rank","Pct_Traffic_Signal","Pct_Junction","Pct_Crossing","Pct_Station","Peak_Hour","Weekend_Prop"
427,390,28.5161281136298,-81.3856374497665,2,1,0,0,100,0,16,0
114,389,28.5159289531628,-81.3940730102261,2,1,100,0,100,0,7,0
6,386,28.5173366801206,-81.3894253631298,2,1,100,0,100,0,7,0
134,385,28.512214692127,-81.3892569459886,2,1,0,0,100,0,17,0
83,382,28.5208093932175,-81.406108884985,2,1,0,0,0,0,12,0
5,375,28.5149842544021,-81.3920231925763,2,1,0,0,0,0,6,0
51,373,28.5079493785867,-81.3955798782528,2,1,0,0,0,0,12,0
50,368,28.5110378611157,-81.4051273340516,2,1,0,0,0,0,11,0
461,362,28.5110986147291,-81.3884362437005,2,1,0,0,100,0,17,0
276,350,28.5111409906925,-81.4015885273176,2,1,0,0,100,0,16,100
202,348,28.5240965556176,-81.4050724759601,2,1,0,0,0,0,10,0
197,346,28.520294397409,-81.3913579926397,2,1,0,0,100,0,16,0
277,346,28.5064679904122,-81.3978026685552,2,1,0,0,0,0,20,100
67,345,28.5103394570598,-81.3972580168321,2,1,0,0,0,0,10,0
204,345,28.5056655749275,-81.3910078389565,2,1,0,0,100,0,15,0
33,343,28.5148915092058,-81.3982268349288,2,1,100,0,100,0,7,0
475,338,28.515577578894,-81.3993863720943,2,1,0,0,100,0,17,100
349,337,28.4976382236911,-81.4164006277928,2,1,0,0,0,0,11,0
19,332,28.5138829039578,-81.3984932127389,2,1,100,0,100,0,8,100
89,330,28.5012262114299,-81.3919208718862,2,1,0,0,0,0,6,100
133,325,28.4983607685845,-81.3906480753437,2,1,0,0,100,0,16,0
400,323,28.5005786522941,-81.3908703798579,2,1,0,0,100,0,15,0
323,319,28.5216392432042,-81.4124779246268,2,1,0,0,0,0,11,0
307,316,28.5022151590591,-81.4039466759771,2,1,0,0,0,0,10,100
18,315,28.5175681428571,-81.3979989714286,2,1,100,0,100,0,7,100
273,313,28.4814261101879,-81.4052471509057,2,1,0,0,100,0,14,100
118,304,28.5055493414187,-81.4257228491912,2,1,0,0,0,0,10,0
260,303,28.523113333302,-81.3695223921355,2,1,0,0,100,0,16,0
219,297,28.4893029653379,-81.426059032652,2,1,0,0,0,0,16,0
158,296,28.5026376808869,-81.4226906330006,2,1,0,0,0,0,14,0
190,296,28.5245014424681,-81.3947502094819,2,1,100,0,100,0,17,0
255,295,28.4916928548413,-81.4055801872071,2,1,0,0,0,0,12,100
261,290,28.5222188976073,-81.3726790467352,2,1,0,0,100,0,17,0
1,287,28.5253495219666,-81.3980186813065,2,1,100,0,100,0,17,0
109,284,28.5195496328659,-81.3958194992459,2,1,100,0,100,0,9,0
182,283,28.5185746503989,-81.402155679999,2,1,100,0,100,0,9,0
135,281,28.5203192567561,-81.3889660008271,2,1,100,0,100,0,17,0
189,281,28.5223232334625,-81.3761629955583,2,1,100,0,100,0,16,0
233,281,28.5171432065125,-81.3874595262278,2,1,100,0,100,0,9,0
32,280,28.5141656080334,-81.399421971723,2,1,100,0,100,0,6,0
439,280,28.5200682557338,-81.3893395976533,2,1,0,0,100,0,15,0
220,279,28.4946760132936,-81.4298799960068,2,1,0,0,0,0,17,0
56,273,28.5203869551102,-81.3684984778481,2,1,100,0,100,0,6,0
75,269,28.5223044268991,-81.388538010242,2,1,100,0,100,0,6,0
326,267,28.5046670859217,-81.4259676505047,2,1,0,0,0,0,11,100
248,266,28.5190840138905,-81.4017769878124,2,1,0,0,100,0,15,100
44,263,28.5005410982056,-81.4056240628355,2,1,100,0,100,0,6,0
209,262,28.4812878107258,-81.4209479978591,2,1,0,0,0,0,20,0
212,260,28.5196931978318,-81.3996475170608,2,1,100,0,100,0,17,100
168,259,28.5273734638496,-81.3877070971208,2,1,100,0,100,0,17,0
500,258,28.468213336513,-81.4402719845874,2,1,0,0,0,0,22,100
199,254,28.4990023473506,-81.4187511589363,2,1,0,0,0,0,20,0
367,253,28.4928230747045,-81.4289747296015,2,1,0,0,0,0,15,0
149,252,28.5171616594065,-81.4019225414099,2,1,100,0,100,0,16,100
412,250,28.5120903428537,-81.3773029050987,2,1,0,0,100,0,18,100
200,249,28.5079482889048,-81.4181353740295,2,1,0,0,0,0,5,0
166,247,28.5089572216891,-81.3866503117317,2,1,100,0,100,0,16,0
90,246,28.5252128255764,-81.3955632889457,2,1,100,0,100,0,6,100
131,245,28.5067169128807,-81.391393084924,2,1,100,0,100,0,16,0
176,242,28.5162031571386,-81.4155724429425,2,1,0,0,0,0,20,0
215,242,28.4889883199274,-81.4245998881241,2,1,0,0,0,0,10,100
358,241,28.5255190142773,-81.4024328832423,2,1,0,0,0,0,5,0
388,240,28.497117513095,-81.4198553609639,2,1,0,0,0,0,21,0
9,239,28.5143873138075,-81.3844836150628,2,1,100,0,100,0,9,0
298,239,28.5017329351126,-81.3923020000629,2,1,0,0,100,0,14,0
265,238,28.5005350961403,-81.4016550513231,2,1,0,0,0,0,20,0
86,235,28.5250552151581,-81.4202199392604,2,1,0,0,0,0,4,100
161,235,28.5105025804356,-81.3796930687438,2,1,0,0,0,0,10,0
195,232,28.517631826468,-81.3928295783444,2,1,100,0,100,0,14,0
123,231,28.5195660231435,-81.3824305510872,2,1,100,0,100,0,16,0
16,228,28.5089458593995,-81.4016995968159,2,1,0,0,0,0,5,100
207,226,28.5116412963197,-81.3983954033532,2,1,100,0,100,0,18,0
454,226,28.4912108416306,-81.417205293471,2,1,0,0,0,0,21,0
418,225,28.5033265571244,-81.4110176157879,2,1,0,0,0,0,22,100
471,224,28.4898555615189,-81.4288127240762,2,1,0,0,0,0,21,100
106,222,28.5046104398969,-81.4071761858889,2,1,0,0,0,0,13,0
517,221,28.5256756704044,-81.3678837389729,2,1,0,0,100,0,15,0
259,220,28.4988739247069,-81.3821321790171,2,1,0,0,100,0,14,0
271,219,28.528606361573,-81.3986169159037,2,1,100,0,100,0,15,0
383,218,28.5286599678899,-81.386276353211,2,1,0,0,100,0,14,0
402,217,28.4952384700608,-81.4183692106948,2,1,0,0,0,0,21,0
281,214,28.4777883988503,-81.4242448439781,2,1,0,0,0,0,18,0
237,211,28.5258920937697,-81.3920980619736,2,1,100,0,100,0,13,0
477,210,28.5136105636758,-81.41142506239,2,1,0,0,100,0,18,0
130,209,28.5293359409364,-81.3861980875594,2,1,100,0,100,0,14,0
213,209,28.5212380993093,-81.4093915396309,2,1,100,0,100,0,18,100
282,209,28.4848724612395,-81.4185984866912,2,1,0,0,0,0,19,0
347,209,28.507457081488,-81.4079983693835,2,1,0,0,0,0,4,0
92,208,28.5258595111901,-81.3920787242016,2,1,100,0,100,0,9,100
178,208,28.5117478900321,-81.4074642477578,2,1,0,0,0,0,5,0
198,208,28.5175738086979,-81.3940319982878,2,1,100,0,100,0,18,0
227,208,28.5104988676984,-81.3903706642167,2,1,100,0,100,0,15,0
294,206,28.5314967635652,-81.3788046099007,2,1,0,0,100,0,8,0
376,204,28.5195230735294,-81.3952863872549,2,1,0,0,0,0,4,0
145,200,28.5314751026813,-81.3851079942067,2,1,100,0,100,0,14,100
210,198,28.4804573671422,-81.430940331631,2,1,0,0,0,0,22,0
293,198,28.5106459642043,-81.3947831354893,2,1,0,0,0,0,5,0
445,198,28.4934641814056,-81.4146694529643,2,1,0,0,0,0,22,0
521,197,28.491748746674,-81.4186441054889,2,1,0,0,0,0,20,0
188,196,28.5312578672794,-81.3899911512957,2,1,100,0,100,0,14,0
126,193,28.5170954281959,-81.3892818980789,2,1,100,0,100,0,12,0
170,193,28.533213364877,-81.3912376664739,2,1,100,0,100,0,18,0
285,193,28.5035235707821,-81.3714622022484,2,1,100,0,100,0,12,0
372,193,28.5101174998947,-81.378399846888,2,1,0,0,100,0,18,0
148,189,28.5224698841559,-81.3843772007605,2,1,100,0,100,0,15,100
366,189,28.5116506828826,-81.4066331521867,2,1,0,0,0,0,12,0
528,188,28.429247223715,-81.4575026184934,2,1,0,0,100,0,15,100
208,186,28.5031754569892,-81.3927896344086,2,1,0,0,100,0,18,0
421,186,28.5102966654783,-81.3893875385702,2,1,100,0,100,0,18,0
