"Cluster","Severity_Level","Time_of_Day","Top_PC_Alignment","Weather","Wind","Main_Drivers"
"Cluster_1","2","Midday","PC1, PC2, PC3","Partly Cloudy","VAR","77.3947931806206, 9.12341612952413, 0.225205382822294, 0.0690544940399327, 9.54464899084899"
"Cluster_2","2","Midday","PC1, PC2, PC3","Fair","CALM","83.3168139460264, 0.0619894413961347, 179.061457496214, 0.567470774148278, 30.0175917076044"
