"Cluster","Severity_Level","Time_of_Day","Top_PC_Alignment","Weather","Wind","Main_Drivers"
"GMM_Cluster_1","2","Afternoon","PC1, PC3, PC2","Fair","E","0.0945371355894175, 0.620126273638782, 30.0448341346952, 0.0133984993870163, 10.0702856279612"
"GMM_Cluster_2","2","Midday","PC1, PC2, PC3","Fair","CALM","0.000185539758592577, 187.547250335607, 0.0601267156796304, 81.723255779835, 0.571214107665632"
"GMM_Cluster_3","2","Afternoon","PC1, PC6, PC3","Mostly Cloudy","ESE","83.7139284001966, 0.0067279446308701, 0.26797900393263, 0.0138111225003858, 0.0858218351742006"
"GMM_Cluster_4","2","Morning","PC2, PC8, PC5","Cloudy","CALM","30.030805939767, 0.190157740362282, 75.7598213152282, 9.42107053133141, 0.553204759675469"
"GMM_Cluster_5","2","Midday","PC2, PC8, PC4","Fog","East","0.0184167546376481, 0.00820331089878968, 0.0379120907640486, 84.9842593797004, 0.221003433776513"
