"Cluster","Severity_Level","Time_of_Day","Top_PC_Alignment","Weather","Wind","Main_Drivers"
"1","2","Afternoon","PC1, PC4, PC3","Mostly.Cloudy","SE","0.857901796716313, 0.22207358874667, 0.438105477832252, 0.0827398848953595, 0.000185683426152637"
"2","2","Midday","PC1, PC2, PC3","Fair","CALM","187.097610245771, 0.582087190796875, 0.000192280726435311, 0.143583598970886, 0.0624443980258771"
"3","2","Morning","PC8, PC1, PC6","Cloudy","N","195.098448363261, 0.000981121906718987, 0.313170682386068, 0.326748504447541, 0.0862724796136618"
"4","2","Morning","PC2, PC3, PC8","Fog","W","1.27957477603002, 0.149181176749615, 0.180234427334468, 0.0555110554619433, 0.0176854242088841"
"5","3","Morning","PC5, PC3, PC1","Scattered.Clouds","East","0.823236541389281, 0.000353683444435783, 0.114420052550064, 0.260309493477461, 0.115080741680743"
"6","2","Midday","PC4, PC1, PC3","Mostly.Cloudy","ESE","0.703644989378075, 0.0234823424440538, 0.00772123600205457, 0.033045449712507, 0.011993226454796"
"7","2","Afternoon","PC1, PC4, PC3","Fair","E","0.164379785939217, 0.230256889463032, 162.554673731562, 0.308727201155801, 0.241862672131135"
"8","2","Morning","PC3, PC4, PC2","Fair","CALM","0.406484011519909, 0.0972491109739634, 0.0263712942475045, 144.526874239722, 0.000395431318652185"
